n_drones,trial,offset_deg,mothership_survived,n_drones_lost,time_to_resolution,min_miss_distance,sam_outcome,sam_victim
0,43,-7.589974039050934,False,0,18.75000000000013,7.020416701285659e-07,kill,F16
0,44,-21.223462387186327,False,0,19.050000000000136,4.638285701896841e-06,kill,F16
0,45,-22.974834044203153,False,0,19.100000000000136,1.2157500676220385e-05,kill,F16
0,46,-8.92931269499441,False,0,18.75000000000013,1.8344703160904974e-08,kill,F16
0,47,2.064315157479001,False,0,18.70000000000013,1.6601067148215224e-08,kill,F16
0,48,19.700077708136973,False,0,19.000000000000135,1.6434532681184327e-05,kill,F16
0,49,20.25405648188493,False,0,19.000000000000135,5.838526605348621e-07,kill,F16
0,50,-8.095449854912122,True,0,18.75000000000013,7.349190316161506e-08,miss,
0,51,-19.369985367674985,False,0,18.950000000000134,2.3010016245387396e-09,kill,F16
0,52,15.53101780746467,False,0,18.900000000000134,5.683257918435444e-06,kill,F16
0,53,5.292550404124157,False,0,18.70000000000013,1.5668220381063598e-09,kill,F16
0,54,-12.440983082330186,False,0,18.800000000000132,4.2353632544381926e-08,kill,F16
0,55,6.761649073489906,False,0,18.75000000000013,1.5500275069784876e-06,kill,F16
0,56,22.881725842488386,False,0,19.100000000000136,1.667455042865414e-06,kill,F16
0,57,22.98099748913497,False,0,19.100000000000136,1.0217105207022816e-05,kill,F16
0,58,24.836546275612186,False,0,19.150000000000137,8.436963635413104e-08,kill,F16
0,59,12.76494722026775,False,0,18.800000000000132,1.3112334695443285e-08,kill,F16
1,0,1.9962524054980726,True,1,18.400000000000126,6.804411203053894,kill,drone_0
1,1,20.039267008999623,True,0,18.450000000000127,6.321184303952921,miss,
1,2,-14.785953385539935,True,1,18.55000000000013,6.069726612808886,kill,drone_0
1,3,-2.4359264102494897,True,1,18.400000000000126,6.583860025055725,kill,drone_0
1,4,22.484243260454612,True,1,18.450000000000127,5.751237349344138,kill,drone_0
1,5,3.9069400283929068,True,1,18.400000000000126,6.808058606185717,kill,drone_0
1,6,-21.5194842547559,True,1,18.60000000000013,6.722924126672427,kill,drone_0
1,7,-5.6478329999616115,True,0,18.450000000000127,5.808510091453645,miss,
1,8,-20.933552965165454,True,0,18.60000000000013,6.883574719461255,miss,
1,9,1.4436828589206812,True,1,18.400000000000126,6.792717392296184,kill,drone_0
1,10,-23.388264799545283,True,1,18.65000000000013,5.64780995880529,kill,drone_0
1,11,1.4980745869566618,True,1,18.400000000000126,6.793096186466375,kill,drone_0
1,12,-4.5851070134914345,True,0,18.450000000000127,5.924412372540994,miss,
1,13,14.97953973810425,True,0,18.400000000000126,6.271429447073596,miss,
1,14,-18.76290652626564,True,1,18.60000000000013,6.030966760762521,kill,drone_0
1,15,8.534861001569602,True,1,18.400000000000126,6.656950176166917,kill,drone_0
1,16,-3.295339081090674,True,1,18.400000000000126,6.526819803458935,kill,drone_0
1,17,15.27733922393368,True,1,18.450000000000127,5.66785216186053,kill,drone_0
1,18,0.3411085832563714,True,1,18.400000000000126,6.754660673821673,kill,drone_0
1,19,12.81614723592564,True,0,18.400000000000126,6.493725100913515,miss,
1,20,-18.078915173301702,True,1,18.55000000000013,6.70384378497889,kill,drone_0
1,21,-20.624405663829403,True,0,18.60000000000013,6.977345941944,miss,
1,22,-18.51302803943163,True,1,18.60000000000013,6.102916102595606,kill,drone_0
1,23,19.09232800681213,True,0,18.450000000000127,6.4162964176147455,miss,
1,24,1.2507436674109762,True,1,18.400000000000126,6.780639591219264,kill,drone_0
1,25,20.838514064145357,True,1,18.450000000000127,6.143037786171168,kill,drone_0
1,26,-11.643634252220892,True,1,18.500000000000128,5.785426985134247,kill,drone_0
1,27,-5.638933045590548,True,1,18.450000000000127,5.8093817524558276,kill,drone_0
1,28,13.184172236300064,True,1,18.400000000000126,6.4950058909798,kill,drone_0
1,29,-3.5323530591930563,True,0,18.400000000000126,6.514386950161305,miss,
